编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,命名对象,规则,正例,反例
NR-001,write|init|plan,角色,缺陷补偿,角色命名|人名|玄幻命名|仙侠命名,名字怎么取|主角叫什么|起名|玄幻人名怎么写,玄幻|仙侠,优先保留修仙感与古风意象，避免现代日常姓名和强烈谐音梗。,"玄幻角色命名要保留修仙感与古风意象，避免现代日常姓名直接套入。","姓氏宜偏古风单姓或复姓，名字可带天、云、剑、灵等意象字，同时避免与核心角色重名或风格断层。",角色人名,玄幻角色命名应体现修仙意境与题材语汇，既要有辨识度，也不能脱离世界观氛围。,"萧炎、叶凌天、慕容紫烟","张伟、李明、王小花"
NR-002,write|init,角色,缺陷补偿,角色命名|人名|都市命名|现代命名,都市角色起名|现代人名怎么写|名字怎么取,都市|现言,优先贴近现实姓名分布与职业气质，避免中二古风名直接落入现代场景。,"都市角色命名应贴合现实语境和人物阶层，避免古风、中二、玄幻化命名。","常见姓氏搭配适度个性的名字更稳妥，若人物家庭背景或职业特殊，可用用词习惯和名字气质辅助区分。",角色人名,都市角色命名应贴合现实生活与人物身份，避免过于中二或古风的姓名直接破坏代入感。,"陈默、林晚晴、顾南城","上官逸尘、慕容天帝、龙傲天"
NR-003,write|init|plan,书名,提醒,书名命名|标题|取名|书名规则,书名怎么取|小说叫什么|标题怎么起,全部,书名必须先服务卖点与辨识度，再追求辞藻华丽。,"书名应短、准、能传达卖点，优先保证读者一眼能判断题材和核心吸引点。","建议控制在 2-6 字或短句卖点结构内，避免标题过长、信息过杂或无法体现核心冲突。",书名,书名应简短有力并体现卖点或世界观，不要因为追求花哨而牺牲辨识度。,"《斗破苍穹》、《完美世界》、《赘婿》",《我在异世界当上了最强的那个人之后发生的故事》
NR-004,write|plan|init,卷名,提醒,卷名|卷标题|分卷命名|卷级标题,卷名怎么起|分卷标题怎么写|每卷叫什么,全部,卷名先服务阶段任务和卷级冲突，再追求诗意，全书多卷要保持同一命名语系。,卷名应体现阶段任务、地图变化或核心冲突升级，让读者一眼看出本卷和上一卷的差别。,长篇分卷标题最好围绕成长阶段、主要地图、核心敌人或情绪弧线命名，不同卷不要各用一套毫无关联的审美系统。,卷名,卷名要体现阶段推进和卷级功能，统一风格比单卷炫技更重要。,入宗试锋|帝都暗潮|北境决战,第一卷|第二卷|那些事
NR-005,write|plan,章节名,提醒,章节名|章名|章节标题|章标题,章节标题怎么起|章名怎么写|小标题怎么取,全部,章节名要么服务悬念要么服务关键事件，不要写成流水账式报幕。,好章名要么给事件节点，要么给悬念钩子，长度短且记忆点明确。,章节标题可以走人物动作、异常发现、关键问题或短促判断句路线，但不要把平平无奇的日常动作直接当标题。,章节名,章节名宜短促清晰并带钩子，优先强化本章最值得点击的点。,他回来了|门外不是人|第七码头,吃饭|聊天|继续前进的一天
NR-006,write|init|plan,术语,知识补充,黑话命名|术语命名|组织黑话|地域黑话,黑话怎么取|组织内部术语怎么写|方言黑话怎么起,都市|奇幻|科幻|悬疑,黑话要体现群体价值观和生存环境，只点缀关键名词，禁止整段对白堆满生造词。,黑话和术语命名应反映群体文化、职业习惯或地域环境，读者一看就能感到这个圈子有自己的语言系统。,小偷公会、赛博街头、宗门帮派都适合有专属黑话，但使用频率要克制，优先用于钱、警察、同伴、敌人等高频词。,组织黑话,词形要易懂、易记且能映射群体文化，不要为了陌生感牺牲理解成本。,烟雾子|亮片|根兄弟,QX-77型人际协作目标体|完全无法联想含义的乱码词
NR-007,write|init|plan,制度,知识补充,官职命名|爵位命名|封号体系|官制称谓,爵位怎么起|官职怎么命名|封号体系怎么写,历史|古言|奇幻|权谋,官职、爵位、封号必须和权责对应，命名统一同一文化语系，避免中西乱炖。,官职和爵位命名要体现权力层级、职责边界和文化来源，不能只追求好听而忽略制度感。,如果是中式体系，就优先走公侯伯子男、尚书、都督这类脉络；若是西幻体系，则用公爵、侯爵、骑士等成套称呼，不宜混搭。,官职爵位,同一套等级体系内的称谓必须成体系，权力、领地和义务要能从名字推断一部分。,镇北侯|礼部侍郎|白塔骑士长,公爵尚书王|魔导师县令|东西体系乱拼
NR-008,write|init|plan,神话,知识补充,神话命名|预言命名|神祇称号|传说专名,神话名怎么起|神祇称号怎么写|预言关键词怎么命名,玄幻|奇幻|仙侠,神话与预言专名要有统一象征系统，围绕太阳、面具、月蚀、锁链等意象反复回响。,神话专名的记忆点来自稳定象征和文化语系，让读者一看就知道这是同一文明长出来的名词。,神祇、神器、预言章节名和古老地名最好共享一套意象来源，例如光、秤、裂月、七锁，而不是各起各的酷名。,神话专名,名称要可追溯到同一文化母题，并方便在后文反复回响与变奏。,金衡之神|碎面先知|七锁归夜,太阳神A|暗黑龙霸天|完全没有文化内核的拼贴酷名
NR-009,write|plan|init,书名,提醒,卖点直译书名|直白书名|书名点击|卖点命名,书名怎么直接打卖点|网文书名怎么一眼看懂|书名怎么更容易点,全部,先抓最能卖的一个核心卖点做书名主轴，宁可清楚，也别自嗨到读者看不懂。,卖点直译型书名最适合平台分发环境，读者扫一眼就知道这本书能给什么。,系统、重生、退婚、全民、诡异、无敌这类高频卖点词，只要和差异点组合得稳，点击率通常比纯诗意题更友好。,书名,优先保证题材和核心爽点一眼可识别，再追求美感与新鲜度。,全民转职：我有唯一被动|退婚后我成了帝国战神,风过长街|无信息量且无法判断题材的纯意象名
NR-010,write|plan|init,书名,提醒,悬念钩子书名|钓点书名|书名留问号|悬念命名,书名怎么吊人|悬念型书名怎么起|书名留钩子怎么做,悬疑|规则怪谈|现言|狗血,悬念型书名要留下明确问题，而不是堆抽象词；钩子必须和正文主冲突强绑定。,悬念钩子型书名的重点不是故作高深，而是让读者立刻产生一个非点进去不可的问题。,谁死了、谁回来了、门后是什么、婚礼上为什么换新娘，这类问题能直接驱动点击，但必须真的会在正文里兑现。,书名,问题要具体且可联想到高冲突场景，不能只有空泛神秘感。,婚礼那天，死去的白月光回来了|规则说不要开门，可门外是我妈,秘密之后|看似神秘，实际什么都没钩住
NR-011,write|plan|init,书名,知识补充,人物特征书名|主角身份命名|角色型书名|主角标签书名,书名怎么突出主角|主角身份适合做书名吗|角色标签怎么做书名,都市|轻小说|现言|玄幻,如果主角本身就是最大卖点，就把身份、职业、特殊标签直接抬到标题里。,人物特征型书名的关键，是主角的身份本身就能承载题材想象和剧情期待。,法医、守夜人、废柴圣子、第七序列工程师、失忆杀手，这类身份词天然带剧情入口，适合放进标题。,书名,主角标签必须足够鲜明、差异化且能支撑整本书，不要把普通职业硬吹成卖点。,第七守夜人|失忆杀手今天也在装学生,一个普通人|身份毫无辨识度，也没有题材承诺
NR-012,write|plan|init,书名,知识补充,世界观书名|设定型书名|宏大背景命名|世界观标题,书名怎么突出世界观|设定流书名怎么取|宏大背景适合进标题吗,科幻|玄幻|奇幻|规则怪谈,当世界观本身是最大差异点时，标题可以直接拿设定名、规则名或文明名做锚点。,世界观型书名适合设定感特别强的作品，它能先卖世界，再卖人物。,黑暗森林、群星坟场、终焉海、七重校规、雾都神典，这些强设定词会让读者先被世界吸进去。,书名,设定名要有画面感和辨识度，避免只有作者自己知道什么意思。,雾都收容档案|终焉海上的第九王座,X计划世界观|像文档名，不像作品名
NR-013,write|plan,卷名,知识补充,时间轴卷名|阶段卷名|成长阶段命名|卷序列,卷名怎么按成长阶段排|多卷标题怎么统一|时间轴卷名怎么起,全部,多卷标题最好能体现成长阶段或时间节点，让读者一眼看出这是哪一段人生和战局。,阶段型卷名的价值，在于它能把长篇庞杂内容压缩成清晰的成长路标。,入学、试锋、远征、失城、归来、封王这类阶段词能自然构成长线递进，也便于整书结构感建立。,卷名,同一部书的卷名体系要保持同一语系和同一抽象层级，不要一卷写地点、一卷写诗句、一卷写口号。,初入北境|长夜远征|王城失火|破晓归来,卷一是地点、卷二是成语、卷三是网络梗，整体完全不统一
NR-014,write|plan,章节名,知识补充,疑问式章名|问句章名|悬念章名|章节钩子,问句章节名怎么起|章名怎么更吊人|疑问式标题适合什么章节,悬疑|规则怪谈|狗血|现言,把最关键的新疑问压成一句短问句做章名，适合卡在认知翻面或真相未落地的章节。,疑问式章名的作用是提前把读者注意力对准本章最大的未知点。,“门外是谁”“她为什么笑了”“谁把规则改了”这类标题都比陈述式更容易制造追读欲。,章节名,问句要具体，且本章正文里必须实质推进这个问题，而不是纯骗点。,他为什么会出现在葬礼上？|谁把第七条校规划掉了？,会发生什么呢？|空泛且无法形成明确期待
NR-015,write|plan,章节名,知识补充,四字章名|对偶章名|成语型标题|短促章名,四字章名怎么起|对偶式标题怎么写|章节名怎么更整齐,历史|玄幻|古言|武侠,当作品整体气质偏凝练或古风时，章节名可以走四字或对偶路线，但必须和正文气质一致。,四字章名容易整齐、有格调，也更适合卷内形成统一的视觉节奏。,云起风生、旧梦重门、剑出北庭、山雨将至，这类四字标题既短促又有画面，但不适合过度口语化正文。,章节名,优先选择能概括事件气质的四字短语，不要为了凑字数硬拼生词。,旧灯如豆|风雪压城|月下归舟,超级无敌大战开始了|过长且气质断裂
NR-016,write|plan|init,书名,知识补充,数字书名|符号书名|编号书名|系列记忆点,数字书名怎么起|带编号的标题适合什么文|书名怎么更有记忆点,科幻|轻小说|赛博朋克|悬疑,数字和编号只能用在真能承载世界观含义时，别为了显得潮硬塞进标题。,数字符号型书名的优势是强记忆点和系列感，但前提是数字本身有剧情意义。,第七码头、404号公寓、七重校规、9号收容室，这类数字名只要背后有规则或地点锚点，就能很快抓住注意力。,书名,数字必须和世界设定、规则层级或关键地点对应，避免沦为随意装饰。,404号公寓|第七条校规,10086之王|数字和剧情毫无关系，只剩尴尬感
NR-017,write|plan|init,书名,知识补充,意象诗意书名|诗意书名|氛围感标题|意象命名,书名想起得更有气质|诗意型标题怎么做|文艺感书名怎么不空,奇幻|玄幻|古言|悬疑,诗意型书名必须仍能挂住题材气质或核心意象，别只剩漂亮空词。,意象诗意型书名适合气质型作品，但至少要让读者感到题材、情绪或母题方向。,月、雪、火、潮、夜、荒城、旧梦这类意象可以做标题锚点，但最好和世界观或情感母题形成反复呼应。,书名,意象要稳定、可回响、能和正文母题互证，不能只是随机拼两个好听词。,雪落长街|雾海尽头的灯,风花月梦|空泛堆词，既无题材也无记忆点
NR-018,write|plan|init,书名,知识补充,反差型书名|对比书名|强反差标题|冲突感书名,书名怎么做反差|标题怎么更抓眼|对比型书名怎么起,都市|轻小说|现言|狗血|悬疑,反差型标题要把两端都写清，让读者立刻感到冲突，不要只堆两个不相关词。,对比反差型书名最抓人的地方，是它把主角现状和异常点在标题里直接撞出来。,废物和天才、穷鬼和首富、前任和婚礼、规则和亲人，这类对撞结构很适合分发环境下抢注意力。,书名,反差必须服务主卖点和主冲突，读者看标题就应知道矛盾从哪来。,全校都以为我是废物|离婚后前夫跪着求我回头,黑与白|只有抽象对比，没有故事钩子
NR-019,write|plan|init,书名,知识补充,情感共鸣书名|情绪型标题|遗憾感书名|共鸣命名,书名怎么更戳人|情绪型标题怎么写|想走共鸣路线怎么命名,现言|古言|青春|现实向,情感共鸣型书名要把最能刺中目标读者的关系或遗憾压进去，别只写空泛伤感。,情感共鸣型书名不是单纯文艺，而是把读者最熟悉的遗憾、错过或执念直接点亮。,离婚、暗恋、重逢、失约、再见、原谅这类高情绪词，只要和具体关系绑定，就容易形成代入感。,书名,要让情绪落在具体关系和事件上，避免只有伤感气氛没有故事入口。,离婚后我终于不再等你|后来我们都没回头,忧伤的回忆|情绪泛泛，没有人物和冲突
NR-020,write|plan|init,书名,知识补充,谜团陈述书名|悬疑陈述型标题|异常事件书名|怪异命名,悬疑标题不写问句怎么起|异常事件型书名怎么做|怪谈书名怎么更抓人,悬疑|规则怪谈|奇幻|都市,用一句异常事实做标题，让读者先接受一个不正常的结果，再带着疑问进正文。,谜团陈述型书名的核心，不是提问，而是先扔出一条明显不对劲的事实。,第七具尸体没有影子、校规里多了一条陌生名字、死去的人在婚礼上签字，这类陈述比空问号更稳。,书名,异常事实要具体且足够反常，能直接改写读者对故事类型的预期。,第七具尸体没有影子|校规上写着我的死期,秘密降临|故作神秘，但没有真正的异常点
NR-021,write|plan,卷名,知识补充,地理卷名|地图卷名|阶级卷名|迁徙型卷名,卷名怎么体现地图变化|换地图时卷名怎么起|不同阶层阶段怎么命名,全部,当每卷核心差异来自地点、阶层或生活圈层变化时，卷名可以直接标出新的活动舞台。,地理与阶级型卷名能快速告诉读者这一卷主角进入了哪片新世界、面对哪种新规则。,外城、内廷、北境、上城区、深海站、第二学院，这些地点或阶层词天然带出新秩序和新敌人。,卷名,卷名中的地点或阶层必须对应本卷主要矛盾，不要只是随手换地图标签。,外城求生|帝都棋局|深海站禁区,去了一个新地方|卷名像备注，不像正式标题
NR-022,write|plan,卷名,知识补充,敌人型卷名|对手型卷名|boss卷名|卷名围绕反派,卷名能不能按敌人起|一卷一个boss怎么命名|卷名怎么突出对手,玄幻|奇幻|历史|悬疑,当本卷强对手是绝对核心时，卷名可以围绕敌人、阵营或称号命名，强化阶段对抗感。,对手型卷名的优势，是它能把整卷压力源直接钉在标题里，让读者知道这段故事要翻哪座山。,白塔审判官、北海妖后、赤甲军、雾城司祭，这类对手或阵营词能天然承接卷级主线。,卷名,敌人必须足够支撑整卷重量，且卷名要体现这是阶段性对抗，不是一次性路边怪。,白塔审判官|北海妖后|赤甲军来临,小反派登场|敌人不重要却硬拿来做卷名
NR-023,write|plan,章节名,知识补充,X之X标题|之字章名|古风章节名|模板章名,X之X这种章名怎么起|之字标题适合什么文|古风章名模板,玄幻|古言|历史|武侠,X之X结构适合凝练气质和事件核心，但两端词义必须有主次关系，不能胡乱拼字。,X之X式章节名好用在于稳定、工整、易统一，尤其适合卷内批量维持风格。,少年之怒、灯下之人、归城之夜、失约之冬，这类结构兼顾古风感和事件感，便于持续复用。,章节名,前后两部分要能共同指向本章核心事件或情绪，不要为了格式感强行凑词。,灯下之人|归城之夜|少年之怒,世界之大|空而泛，无法定位本章内容
NR-024,write|plan,章节名,知识补充,副标题章名|主副标题|章节副标题|双层标题,章节名想加副标题怎么做|双层标题适合什么场景|章名怎么兼顾信息和气质,全部,主标题抓事件，副标题补气氛或补限定条件，让双层标题各司其职，不要重复表意。,主标题加副标题的好处，是既能交代关键事件，也能额外补一层情绪、地点或特殊条件。,像“决战前夜（所有人都没睡）”“旧友来信·但寄件人已死”这类双层结构，适合信息较密的关键章。,章节名,主副标题必须分工明确，主标题抓主事件，副标题只补最必要的一层新信息。,决战前夜（所有人都没睡）|旧友来信·但寄件人已死,大战开始（大战开始了）|上下重复，没有新增价值
NR-025,write|plan|init,地名,知识补充,地名命名|城名|地标名|地图命名,城市地名怎么起|地标名字怎么取|地图地点怎么命名,全部,地名优先体现地貌、历史功能或文化来源，让读者第一次看就能感到这地方为什么叫这个名字。,好地名不是随机好听词，而是能从地貌、历史、资源或势力痕迹里长出来。,黑潮港、赤石岭、旧王城、云栈关这类名字都带有地形或历史指向，能让地图更有记忆点和真实感。,地名,名称应能映射地理特征、历史事件或现实功能，避免像空泛手游地图点位。,黑潮港|旧王城|云栈关,神秘之地|酷炫城|无来源也无辨识度
NR-026,write|plan|init,势力,知识补充,势力命名|组织名|门派名|阵营命名,组织名字怎么起|门派势力怎么命名|阵营名怎么更像一回事,全部,势力名要同时体现价值观、行业属性或历史来源，让名字一出来就有立场和气味。,强势力名往往兼具立场和功能感，让读者看到名字就知道他们大概怎么做事、信什么。,白塔议会、赤羽营、归夜教团、长街同盟，这些名字都能兼带制度感、职业感或信仰感。,势力名,势力名应与组织性质、文化语系和权力结构一致，不要同一体系里古今中外乱炖。,白塔议会|赤羽营|归夜教团,神秘牛逼组织|只有作者觉得酷，读者看不出属性
NR-027,write|plan|init,招式,知识补充,功法命名|招式命名|术法名字|技能名,功法招式怎么起|技能名字怎么更帅|术法名怎么不土,玄幻|仙侠|奇幻|武侠,功法和招式名要能看出路线、效果或来源，不要所有技能都只会堆天魔神龙灭世级大词。,招式和功法命名最怕全是空炸词，真正好用的名字能让读者大致猜到它怎么打、为什么强。,断潮步、归墟印、焚骨诀、九折雷枪这类名字，往往同时携带动作方向、元素属性或传承味道。,功法招式,名称至少应体现流派、动作、元素、代价或传承之一，避免千篇一律的终极大招腔。,断潮步|焚骨诀|九折雷枪,宇宙无敌神龙灭世斩|只会堆料，没有体系感
NR-028,write|plan|init,器物,知识补充,法宝命名|遗物命名|神器名字|关键道具命名,法宝怎么起名|遗物名称怎么更有故事|神器名字怎么写,玄幻|奇幻|悬疑|科幻,关键器物名要同时带功能感和历史感，名字一出来就该像有来历、有代价、有旧事。,法宝和遗物命名的记忆点，来自用途、旧主与象征三者至少占一项。,碎月灯、归骨匣、审判环、旧王印，这类道具名往往既像物件，也像一段旧历史的入口。,法宝遗物,不要给所有道具都起成一个画风；越关键的器物，越需要名字和剧情功能互相咬合。,碎月灯|归骨匣|旧王印,超级神器一号|像临时占位符，没有故事感
NR-029,write|plan|init,代号,知识补充,代号命名|绰号命名|编号代号|隐秘身份名,代号怎么起|绰号怎么更狠|秘密身份编号名怎么做,都市|悬疑|谍战|赛博朋克,代号要么来自战绩，要么来自习惯、传闻或功能，让它像别人替角色刻上的外号，而不是自封酷名。,好的代号像江湖口耳相传出来的标签，一听就知道这个人靠什么出名、为什么让人记住。,灰鸦、七号针、收尸人、白手套这类代号，都比自我宣言式名字更像在圈子里活过一阵的人。,代号绰号,代号应简短、易传播、带传闻感，最好能反映角色手段、风格或一段成名旧事。,灰鸦|七号针|白手套,至尊毁灭神|像小学生自封，没有江湖传播逻辑
NR-030,write|plan|init,职业,知识补充,职业命名|序列命名|职阶命名|进阶职业,职业路线怎么命名|序列名称怎么排|进阶职业名怎么更稳,科幻|奇幻|规则怪谈|游戏文,职业和序列名必须看得出路径关系，低阶到高阶要有同一体系的递进感，不要每阶像换了个世界。,职业序列命名最重要的是纵向统一，让读者一看就知道这条路从哪里起、往哪里长。,见习巡夜人、守夜人、执灯官、夜巡长，这种链式命名比完全散乱的等级名更便于建立体系感。,职业序列,同一路线的称谓应共享母题或职能词，让升级像进阶而不是随机改名。,见习巡夜人|守夜人|执灯官,一级叫猎人、二级叫圣子、三级叫管理员|路线完全断裂
NR-031,write|plan|init,副本,知识补充,副本命名|秘境名字|关卡命名|诡异场景名,副本名字怎么起|秘境名怎么更吓人|关卡标题怎么更抓人,无限流|规则怪谈|玄幻|游戏文,副本名优先抓主题恐惧、核心规则或异常场景，让读者光看名字就知道这一关要面对什么味道的危险。,副本和秘境名应该先卖氛围与规则感，而不是只卖华丽词藻。,无灯校舍、第七海洋馆、回声病院、埋骨长廊，这类名字都能把场景主题和不安感先立起来。,副本秘境名,名称应尽量绑定一个明确的场景意象或规则恐惧点，避免同质化的某某秘境。,无灯校舍|回声病院|埋骨长廊,终极副本|神级秘境|太泛，无法产生具体期待
NR-032,write|plan,番外,知识补充,番外标题|终章命名|后日谈标题|收束型章节名,番外标题怎么起|终章怎么命名更有余韵|后日谈章节名怎么写,全部,终章和番外标题要服务收束感与余味，不要写成冷冰冰的番外一番外二。,番外和终章的标题最好能给读者一个情绪落点，让故事在标题层面就开始收尾。,多年以后、雪停之后、灯还亮着、故人来信，这类标题比编号更适合承接结局余韵和角色后来。,终章番外名,标题应强化结局感、后日谈感或角色余生方向，避免像普通连载章名继续机械推进。,雪停之后|多年以后|故人来信,番外一|终章2|只有管理编号，没有情绪价值
NR-033,write|plan|init,家族,知识补充,家族命名|氏族命名|血脉称号|门阀姓氏,家族名怎么起|血脉称号怎么写|世家门阀怎么命名,玄幻|仙侠|奇幻|历史,家族和血脉名先体现传承、地域或图腾来源，再考虑贵气感，别全写成某某天族。,家族血脉名最好自带历史、地域或图腾信息，让读者一眼看出这个姓氏背后站着什么传统。,门阀、部族、古族的名字可以围绕山海、器物、祖训、图腾或开基地命名，比单纯堆圣、神、皇更稳。,家族血脉名,名称应能反映传承来源和文化语系，同一世界里的世家不要每家都是不同语言系统。,澹台氏|烛山古族|白鹿闻人,无敌天神家族|至尊皇族X
NR-034,write|plan|init,代号,知识补充,行动代号|计划名|任务编号|作战命名,计划代号怎么起|行动名怎么写|秘密任务怎么命名,谍战|科幻|都市|悬疑,代号要体现目标或伪装方向，别只靠酷字母和硬词堆砌。,行动代号最稳的写法，是让圈内人一听就能记住用途，圈外人又未必立刻看透。,可以用地名、天气、节令、颜色或旧典故做掩护层，再让行动目标和代号产生隐秘映射。,行动计划代号,优先简短、可口头传播、能承载保密性或误导性，不要长到像项目文档标题。,归潮计划|白塔清场|黑雨行动,绝密最终最强计划|A1B2C3Z9无含义串码
NR-035,write|plan|init,地标,知识补充,店铺命名|据点名字|酒馆名|客栈名|基地命名,店铺名怎么起|据点怎么命名|酒馆客栈名怎么写,都市|古言|玄幻|奇幻,店铺与据点名要兼顾营业属性和人物气质，别每家店都只剩某某阁某某居。,据点和店铺名最好让读者一眼看出它卖什么、什么气质、为什么被人记住。,酒馆、药铺、黑市铺子、调查所和安全屋都可以从老板习惯、街区气息、主营商品或旧称号里生长出名字。,店铺据点名,名称应和功能、地段或老板气质至少挂上一层钩，别只有古风壳子没有生活味。,七盏灯酒馆|回春斋|旧桥事务所,神之商店|至尊阁888
NR-036,write|plan|init,赛事,知识补充,赛事命名|试炼名|大比名称|选拔赛标题,试炼怎么起名|大赛怎么命名|宗门大比叫什么,玄幻|学院|奇幻|游戏文,赛事和试炼名先说明层级与考验核心，再追求史诗感和威压感。,比赛和试炼的名称越能体现筛选标准、危险等级或举办方风格，越容易建立世界秩序感。,外门大比、百塔试锋、深海入职考、冬都选锋会，这类名字都能同时交代舞台、用途和含金量。,赛事试炼名,最好包含层级词、场域词或功能词，让读者知道这是庆典、淘汰赛还是生死试炼。,百塔试锋|冬都选锋会|第三学院联测,最强比赛|终极试炼赛赛赛
NR-037,write|plan|init,规则,知识补充,规则命名|校规命名|法则命名|条目标题,规则条目怎么写|法则名怎么起|怪谈规则怎么命名,规则怪谈|悬疑|科幻|无限流,规则条目名必须先清楚后诡异，读者要先能记住，再被异常之处刺到。,规则条目或法则名最重要的是可复述、可引用、可在剧情里反复回响。,静默条例、熄灯后通行规范、第七层看护守则，这类命名兼具管理感和危险暗示，比纯抽象法则更利于剧情反复调用。,规则条目名,标题宜短、能挂场景或行为条件，并保留一点异常感，不要像随机恐怖句子合集。,静默条例|第七层看护守则|夜巡回避法,不要相信任何人否则会怎样你懂的|过长且无法稳定引用
NR-038,write|plan,章节名,知识补充,结果先行章名|先抛结局的标题|章名剧透钩子|结果型标题,章名先给结果怎么写|剧透式标题怎么起|章节标题怎么更抓人,悬疑|狗血|现言|知乎短篇,结果先行型标题要先给异常结果，再让正文解释过程，别把最关键的底牌直接剧透光。,结果先行型章名适合高冲突章节，它用一句已发生的结果逼读者追问过程。,她还是来了、婚礼取消了、第七码头失火了，这类标题先把局面掀开，再靠过程补足冲击。,章节名,结果必须具体且有反常性，能倒逼读者想知道为什么，不要只是普通事件报幕。,婚礼取消了|她还是来了|第七码头失火了,事情发生了|有结果感但完全不具体
NR-039,write|plan,章节名,知识补充,命令句章名|警告式标题|祈使句标题|不要开门,命令句标题怎么起|警告式章名怎么写|不要XX这种标题怎么做,规则怪谈|悬疑|惊悚|科幻,命令句标题要像从世界规则里直接撕下来的一句警告，短、狠、带后果感。,祈使句章名天然带压迫和规则感，适合危险临界点、禁令触发点和认知翻面章节。,不要回头、先关灯、别叫她名字，这类标题能迅速把读者拉进一条高压规则。,章节名,尽量用可执行动作和明确对象，避免空泛口号式命令。,不要回头|先关灯|别叫她名字,请大家一定要认真思考人生|不像章节钩子
NR-040,write|plan,卷名,知识补充,母题递变卷名|意象递进|多卷命名体系|卷名统一,多卷标题怎么递进|卷名怎么有同一母题|系列卷名怎么排,全部,多卷标题可以围绕同一母题变奏，让每一卷既像同一家族，又能看出阶段升级。,母题递变型卷名能给长篇建立整体审美和结构秩序，尤其适合多卷长线。,如果母题是灯，就可以从点灯、守灯、焚灯、灭灯、复灯递进；既统一，也自然承载成长和局势变化。,卷名,统一同一母题、同一抽象层级和同一语言风格，让卷名递进而不跳调。,点灯之夜|守灯之城|焚灯之冬,第一卷北境|第二卷命运诗篇|第三卷狠狠干|体系完全散
NR-041,write|plan|init,地标,知识补充,区域命名|街区命名|城区名字|地图分层|地带命名,地图区域怎么起名|城区名字怎么写|街区分层怎么命名,都市|赛博朋克|奇幻|悬疑,区域名要优先体现功能、阶层或危险特征，让读者一听就知道那地方是什么生态。,街区和区域命名最稳的方式，是把地段功能、阶层气味或历史别称压进名字里。,像下城区、旧港区、红灯巷、灰井层这类名字，都能在第一次出现时就替地图补半层设定。,区域街区名,名称最好挂一层地理、产业、阶层或旧事件来源，避免空泛的东一区西二区。,旧港区|灰井层|琉灯街,A1区|新地方一号|缺少气质和功能信息
NR-042,write|plan|init,组织,知识补充,组织命名|派系命名|势力名字|阵营命名|帮派命名,组织名怎么起|派系怎么命名|势力名字怎么更稳,玄幻|历史|奇幻|都市,势力名要把权力来源、行动风格或信仰母题写进名字，不要所有组织都叫某某盟某某会。,组织派系名要让读者一眼感到这个势力靠什么立身，走什么风格，属于什么文化系统。,审判庭、夜巡署、白塔议会、赤潮帮这类名字都比抽象大词更能立住功能和气质。,组织派系名,名称要和权力结构、行动方式或文化来源挂钩，同一体系下的势力名应保持语系统一。,白塔议会|夜巡署|赤潮帮,最强组织联盟|又空又俗，没有身份信息
NR-043,write|plan|init,制度,知识补充,协议命名|条约命名|法案命名|计划书命名|制度名,条约怎么命名|协议名字怎么写|法案和计划怎么起名,科幻|悬疑|权谋|都市,协议、条约和法案名要体现约束对象与核心内容，别只追求酷炫代号。,制度文本的名字越清楚，剧情里引用和冲突时越有力量。,像熄灯后通行条例、海雾停战协定、深层样本封存法案，这类名字都兼顾了功能感和世界观信息。,协议条约法案名,优先点出对象、场景和核心约束，必要时再叠加一层官方或历史语气。,海雾停战协定|深层样本封存法案|夜航回避条例,终极协议|听起来大，但不知道管什么
NR-044,write|plan|init,称号,知识补充,榜单命名|榜名|称号系统|排名名|封号榜,榜单怎么起名|排行榜叫什么|称号体系怎么命名,玄幻|学院|游戏文|都市,榜名和称号体系先说明评价维度和社会含金量，再考虑气势和逼格。,榜单名越清楚它在比什么、谁在认这个标准，后续放榜和争榜就越有戏。,通缉榜、群星榜、青云榜、黑金席位这类名字都带着明确的评价场和社会分量。,榜名单称号,命名时要考虑评选主体、比较维度和读者记忆点，别用过多生词造成理解门槛。,青云榜|黑金席位|七城通缉榜,宇宙超神至尊榜|只剩堆词，没有秩序感
NR-045,write|plan,终章,知识补充,终章标题|返题型标题|回环式章名|收束命名|终局标题,终章标题怎么起|结局怎么回扣标题|回环式章名怎么做,全部,终章标题若要返题，必须回扣全书母题或开篇承诺，而不是生硬重复书名。,返题型终章标题最有效的时候，是它让读者意识到故事走了一圈，终于抵达开篇没说透的真正含义。,可以回扣开篇一句话、核心意象或书名关键词，让终章标题本身就形成收束感和余味。,终章标题,返题不是照抄，而是回扣母题并产生新含义，让标题在结尾完成二次发光。,灯还亮着|于是长夜有了名字|最后一条校规,大结局|终章完结|只有管理意义，没有文学和情绪价值
